"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV EAC Monitoring Register Column Mapping"
"NgHivEacRegister","NgHivEacRegister","","","",0,*,"","","","null {[]} {[]}
","NG HIV Enhanced Adherence Counselling Monitoring Register","Logical model for the patient-level Nigeria Enhanced Adherence Counselling
"NgHivEacRegister.entry.uniqueId","NgHivEacRegister.entry.uniqueId","","","",1,1,"","","","string {[]} {[]}
","A3 Unique ID","National HIV program ART unique identifier.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.uniqueId",1,1,"","","A3"
"NgHivEacRegister.entry.clientName","NgHivEacRegister.entry.clientName","","","",1,1,"","","","string {[]} {[]}
","A4 Name","Client full name, recorded surname first followed by other names.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.clientName",1,1,"","","A4"
"NgHivEacRegister.entry.sex","NgHivEacRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","A5–A6 Sex","Client sex represented by the printed male or female columns.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgHivEacRegister.entry.sex",1,1,"","","A5 Male / A6 Female"
"NgHivEacRegister.entry.ageValue","NgHivEacRegister.entry.ageValue","","","",1,1,"","","","integer {[]} {[]}
","A7 Age value","Client age at registration into the EAC monthly cohort.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.ageValue",1,1,"","","A7"
"NgHivEacRegister.entry.ageUnit","NgHivEacRegister.entry.ageUnit","","","",1,1,"","","","code {[]} {[]}
","A7 Age unit","Age in years, or months when the client is younger than one year.","","","","","","","","","",,"required","","http://hl7.org/fhir/ValueSet/units-of-time","",,,,"NgHivEacRegister.entry.ageUnit",1,1,"","","A7 age unit implied by SOP"
"NgHivEacRegister.entry.artStartDate","NgHivEacRegister.entry.artStartDate","","","",1,1,"","","","date {[]} {[]}
","A8 ART start date","Date the client commenced antiretroviral therapy.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.artStartDate",1,1,"","","A8"
"NgHivEacRegister.entry.currentArtRegimen","NgHivEacRegister.entry.currentArtRegimen","","","",0,1,"","","","Coding {[]} {[]}
","A9 Current ART regimen","Register ART regimen code at enrolment into EAC.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-register-regimen-vs","",,,,"NgHivEacRegister.entry.currentArtRegimen",0,1,"","","A9"
"NgHivEacRegister.entry.currentArtRegimenText","NgHivEacRegister.entry.currentArtRegimenText","","","",0,1,"","","","string {[]} {[]}
","A9 Current ART regimen source text","Regimen description retained when the source does not provide a valid register code.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.currentArtRegimenText",0,1,"","","A9 legacy or uncoded value"
"NgHivEacRegister.entry.qualifyingViralLoadResult","NgHivEacRegister.entry.qualifyingViralLoadResult","","","",1,1,"","","","integer {[]} {[]}
","A10 Qualifying viral-load result","Most recent viral-load result prompting EAC registration, in copies/mL. The register is intended for results greater than 50 copies/mL.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.qualifyingViralLoadResult",1,1,"","","A10 result"
"NgHivEacRegister.entry.qualifyingViralLoadResultReceivedDate","NgHivEacRegister.entry.qualifyingViralLoadResultReceivedDate","","","",1,1,"","","","date {[]} {[]}
","A10 Date qualifying result received","Date the qualifying viral-load result was received at the facility. This date determines the monthly cohort.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.qualifyingViralLoadResultReceivedDate",1,1,"","","A10 date received in facility"
"NgHivEacRegister.entry.indexTestingOffered","NgHivEacRegister.entry.indexTestingOffered","","","",1,1,"","","","boolean {[]} {[]}
","A11–A12 Offered index testing","True when index testing was offered; false when it was not offered.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.indexTestingOffered",1,1,"","","A11 Yes / A12 No"
"NgHivEacRegister.entry.eacSession","NgHivEacRegister.entry.eacSession","","","",0,*,"","","","BackboneElement {[]} {[]}
","A13–A16 EAC session","Enhanced Adherence Counselling session delivered to the client.","","","","","","","","","",,,,,"",,,,"NgHivEacRegister.entry.eacSession",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
