"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG TB Presumptive Register Column Mapping"
"NgTBPresumptiveRegister.entry.modifierExtension","NgTBPresumptiveRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgTBPresumptiveRegister.entry.subject","NgTBPresumptiveRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.subject",0,1,"",""
"NgTBPresumptiveRegister.entry.serialNumber","NgTBPresumptiveRegister.entry.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Serial number","Sequential number assigned to the client in the register.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.serialNumber",1,1,"","","S/N"
"NgTBPresumptiveRegister.entry.registrationDate","NgTBPresumptiveRegister.entry.registrationDate","","","",1,1,"","","","date {[]} {[]}
","Date of registration","Date the client was registered as a presumptive TB client.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.registrationDate",1,1,"","","Date of Registration"
"NgTBPresumptiveRegister.entry.hospitalClinicNumber","NgTBPresumptiveRegister.entry.hospitalClinicNumber","","","",0,1,"","","","string {[]} {[]}
","Hospital or clinic number","Hospital or clinic identifier assigned to the client.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.hospitalClinicNumber",0,1,"","","Hospital/Clinic No"
"NgTBPresumptiveRegister.entry.patientName","NgTBPresumptiveRegister.entry.patientName","","","",1,1,"","","","string {[]} {[]}
","Full name","Full name of the client.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.patientName",1,1,"","","Full Name"
"NgTBPresumptiveRegister.entry.ageYears","NgTBPresumptiveRegister.entry.ageYears","","","",1,1,"","","","integer {[]} {[]}
","Age in years","Age of the client in years as recorded in the source register.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.ageYears",1,1,"","","Age (Yrs)"
"NgTBPresumptiveRegister.entry.sex","NgTBPresumptiveRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Client sex. The source register records M or F.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgTBPresumptiveRegister.entry.sex",1,1,"","","Sex (M/F)"
"NgTBPresumptiveRegister.entry.patientAddress","NgTBPresumptiveRegister.entry.patientAddress","","","",0,1,"","","","string {[]} {[]}
","Full address","Full residential address of the client.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.patientAddress",0,1,"","","Full Address"
"NgTBPresumptiveRegister.entry.specimenIdentificationNumber","NgTBPresumptiveRegister.entry.specimenIdentificationNumber","","","",0,1,"","","","string {[]} {[]}
","Specimen identification number","Identification number assigned to the specimen submitted for TB investigation.","","","","","","","","","",,,,,"",,,,"NgTBPresumptiveRegister.entry.specimenIdentificationNumber",0,1,"","","Specimen Identification Number"
