"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG DR-TB Treatment Register Column Mapping"
"NgDRTBTreatmentRegister.entry.modifierExtension","NgDRTBTreatmentRegister.entry.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"NgDRTBTreatmentRegister.entry.subject","NgDRTBTreatmentRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.subject",0,1,"",""
"NgDRTBTreatmentRegister.entry.patientSerialNumber","NgDRTBTreatmentRegister.entry.patientSerialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","Patient serial number","Sequential patient serial number assigned within the register.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.patientSerialNumber",1,1,"","","Patient Serial Number"
"NgDRTBTreatmentRegister.entry.dateRegistered","NgDRTBTreatmentRegister.entry.dateRegistered","","","",1,1,"","","","date {[]} {[]}
","Date registered","Date the patient was entered into the DR-TB treatment register.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.dateRegistered",1,1,"","","Date Registered"
"NgDRTBTreatmentRegister.entry.placeOfInitiation","NgDRTBTreatmentRegister.entry.placeOfInitiation","","","",1,1,"","","","code {[]} {[]}
","Place of initiation","Place where DR-TB treatment was initiated. Source values are C for Community and TC for Treatment Centre.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.placeOfInitiation",1,1,"","","Place of Initiation: C = Community / TC = Treatment Centre"
"NgDRTBTreatmentRegister.entry.lgaDrTbRegistrationNumber","NgDRTBTreatmentRegister.entry.lgaDrTbRegistrationNumber","","","",1,1,"","","","string {[]} {[]}
","LGA DR-TB registration number","Programme registration number assigned to the patient for DR-TB care.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.lgaDrTbRegistrationNumber",1,1,"","","LGA DR-TB Registration Number"
"NgDRTBTreatmentRegister.entry.patientName","NgDRTBTreatmentRegister.entry.patientName","","","",1,1,"","","","string {[]} {[]}
","Name of patient","Patient name as recorded in the DR-TB treatment register.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.patientName",1,1,"","","Name of Patient"
"NgDRTBTreatmentRegister.entry.sex","NgDRTBTreatmentRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","Sex","Patient sex as recorded in the source register.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgDRTBTreatmentRegister.entry.sex",1,1,"","","Sex: M or F"
"NgDRTBTreatmentRegister.entry.age","NgDRTBTreatmentRegister.entry.age","","","",0,1,"","","","integer {[]} {[]}
","Age","Patient age at registration.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.age",0,1,"","","Age: Above - Insert Age"
"NgDRTBTreatmentRegister.entry.dateOfBirth","NgDRTBTreatmentRegister.entry.dateOfBirth","","","",0,1,"","","","date {[]} {[]}
","Date of birth","Patient date of birth. The source register records age above and date of birth below in the same column.","","","","","","","","","",,,,,"",,,,"NgDRTBTreatmentRegister.entry.dateOfBirth",0,1,"","","Age: Below - Insert Date of Birth"
