URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-facility-type-vs,0.0.0,active,"2.16.840.1.113884.3.9944.1.48.20",NgFacilityTypeVS,NG HealthFacility Type VS,"Classification of Nigerian health facilities",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-family-planning-method-vs,0.0.0,active,"2.16.840.1.113884.3.9944.1.48.21",NgFamilyPlanningMethodVS,Family Planning Method,"Family Planning Method",,"LOINC"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs,0.0.0,active,"2.16.840.1.113884.3.9944.1.48.22",NgGenderVS,NG Gender or Sex VS,"A subset of the administrative gender codes including only 'male' and 'female'",,"hl7.fhir.r4.core"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-adult-art-medication-vs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.48.23",NgHivAdultArtMedicationVS,NG HIV Adult ART Medications,"Adult ART medicine products and strengths listed on the Nigeria Combined Pharmacy Order Form.",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-eligibility-status-vs,0.0.0,active,"2.16.840.1.113884.3.9944.1.48.24",NgHivARTEligibilityStatusVS,ART Eligibility Status,"ART Eligibility Status",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-follow-up-status-vs,0.0.0,active,"2.16.840.1.113884.3.9944.1.48.25",NgHivARTFollowUpStatusVS,HIV Follow Up Status ValueSet,"FollowUp Status",,"Internal,LOINC"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-monthly-age-group-vs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.48.26",NgHivArtMonthlyAgeGroupVS,NG HIV ART Monthly Age Groups,"Age groups used for ART1–ART4.",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-monthly-ahd-category-vs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.48.27",NgHivArtMonthlyAhdCategoryVS,NG HIV ART Monthly AHD Categories,"AHD program categories used as subsets of ART19 and ART20.",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-monthly-cervical-age-group-vs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.48.28",NgHivArtMonthlyCervicalAgeGroupVS,NG HIV ART Monthly Cervical Screening Age Groups,"Age groups used for cervical screening and treatment.",,"Internal"
https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-hiv-art-monthly-cervical-screening-result-vs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.48.29",NgHivArtMonthlyCervicalScreeningResultVS,NG HIV ART Monthly Cervical Screening Results,"Cervical screening result categories used under ART23.",,"Internal"
