URL,Version,Status,OIDs,Name,Title,Description,Used
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/age-component-codes-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.1",NgAgeComponentCodesCS,NG Age Component Codes,"Local CodeSystem for age components: units, comparison operators, and common MNCH/EPI age bands for use in measures, decision logic, and stratification.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-alert-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.2",NgAlertCategoryCS,Nigeria Alert Category Code System,"Categories used to classify alerts represented using the Nigeria Alert Flag profile.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-alert-code-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.3",NgAlertCodeCS,Nigeria Alert Code System,"Common alert types used by Nigerian health information systems and represented using the Nigeria Alert Flag profile.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-atc-medication-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.4",NgATCLocalMedicationCS,NG Local ATC Medication Codes,"Local ATC. Codes are placeholders aligned to common maternal, newborn, and child health needs, plus EPI vaccines.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-bundle-identifier-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.5",NgBundleIdentifierCS,NG Bundle Identifier Codes,"Local CodeSystem defining standard bundle identifiers.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-careplan-activity-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.6",NgCareplanActivityCS,NG CarePlan Activity Codes,"Activities for CarePlan.activity.detail.code.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-careplan-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.7",NgCareplanCategoryCS,NG CarePlan Category Codes,"Categories for CarePlan.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-claim-product-or-service-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.9",NgClaimProductOrServiceCS,NG Claim Product/Service Codes,"Nigeria-specific productOrService codes.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-clinical-status-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.10",NgClinicalStatusCS,NG Adverse Event CS,"A classification system that represents the current clinical status of an individual who experienced an Adverse Event Following Immunization (AEFI), based on medical observation, investigation, or follow-up assessment.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-device-identifier-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.11",NgDeviceIdentifierCS,NG Electromechanical Medical Device Identifier CS,"Simplified CodeSystem of 50 placeholder identifiers for electromechanical medical devices (vital signs, analyzers, imaging/DICOM, bedside, handheld, IoT).",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-device-metric-category-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.12",NgDeviceMetricCategoryCS,NG DeviceMetric Category Codes,"Local mirror of DeviceMetric.category. Consider using 'http://terminology.hl7.org/CodeSystem/metric-category' in production.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-device-type-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.13",NgDevicetypeCS,NG DeviceType Codes,"Local mirror of Device Type.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-eligibility-request-id-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.14",NgEligibilityRequestIdCS,Eligibility Request ID CodeSystem,"Local codes to identify the type used for an Eligibility Request identifier. Intended for use in CoverageEligibilityRequest.identifier.type.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-facility-identifier-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.15",NgFacilityIdentifierCS,NG Facility Identifier CS,"This CodeSystem IMMZ.A.DE1 defines placeholder codes to manage Facility identifiers in Nigeria.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-facility-type-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.16",NgFacilityTypeCS,NG Facility Type CS,"A standardized classification system used to describe the type or level of health facility within a healthcare delivery system, based on the scope of services provided, staffing, infrastructure, and administrative role.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-absent-unknown-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.17",NgHivAbsentUnknownCS,HIV Absent or Unknown CodeSystem,"Codes used for indicating when a value is absent or unknown.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-follow-up-status-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.19",NgHivARTFollowUpStatusCS,NG HIV Follow Up Status CodeSystem,"A list of codes describing the follow up statuses",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-monthly-summary-cs,0.0.0,active,"2.16.840.1.113884.3.9944.1.16.20",NgHivArtMonthlySummaryCS,NG HIV ART Monthly Summary Codes,"Indicator, stratifier-dimension and local disaggregation codes for the Nigeria ART Monthly Summary Form revised November 2025.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-cervical-status-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.21",NgHivArtRegisterCervicalStatusCS,NG HIV ART Register Cervical Cancer Screening Status Codes,"Combined cervical-cancer screening workflow statuses printed in column A27 of the National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-cryptococcal-status-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.22",NgHivArtRegisterCryptococcalStatusCS,NG HIV ART Register Cryptococcal Status Codes,"Cryptococcal screening and treatment-state codes printed in column A25 of the National ART Register.",
https://fhir-ig.digitalhealth.gov.ng/CodeSystem/ng-hiv-art-register-dsd-status-cs,0.0.0,draft,"2.16.840.1.113884.3.9944.1.16.23",NgHivArtRegisterDsdStatusCS,NG HIV ART Register DSD Status Codes,"Facility- and community-based differentiated-service-delivery model codes printed in column A33 of the National ART Register.",
