"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: NG HIV Tracking Register Column Mapping"
"NgHivTrackingRegister.entry.subject","NgHivTrackingRegister.entry.subject","","","",0,1,"","","","Reference {[]} {[CanonicalType[https://fhir-ig.digitalhealth.gov.ng/StructureDefinition/ng-patient]]}
","Patient reference","Reference to the corresponding Nigeria Core Patient resource, when available.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.subject",0,1,"",""
"NgHivTrackingRegister.entry.serialNumber","NgHivTrackingRegister.entry.serialNumber","","","",1,1,"","","","positiveInt {[]} {[]}
","T6 Serial number","Monthly serial number beginning from one for each new register page.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.serialNumber",1,1,"","","T6"
"NgHivTrackingRegister.entry.hospitalNumber","NgHivTrackingRegister.entry.hospitalNumber","","","",0,1,"","","","string {[]} {[]}
","T7 Hospital number","Facility-specific hospital number.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.hospitalNumber",0,1,"","","T7 Hospital number before slash"
"NgHivTrackingRegister.entry.uniqueId","NgHivTrackingRegister.entry.uniqueId","","","",1,1,"","","","string {[]} {[]}
","T7 Unique ID","Client unique ART program identifier. The printed register records hospital number and unique ID separated by a forward slash.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.uniqueId",1,1,"","","T7 Unique ART ID after slash"
"NgHivTrackingRegister.entry.clientName","NgHivTrackingRegister.entry.clientName","","","",1,1,"","","","string {[]} {[]}
","T8 Client name","Client full name, including aliases documented in the clinical folder.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.clientName",1,1,"","","T8"
"NgHivTrackingRegister.entry.sex","NgHivTrackingRegister.entry.sex","","","",1,1,"","","","Coding {[]} {[]}
","T9 Sex","Client sex represented by the printed male and female boxes.","","","","","","","","","",,"required","","https://fhir-ig.digitalhealth.gov.ng/ValueSet/ng-gender-vs","",,,,"NgHivTrackingRegister.entry.sex",1,1,"","","T9 Male / Female"
"NgHivTrackingRegister.entry.ageYears","NgHivTrackingRegister.entry.ageYears","","","",0,1,"","","","integer {[]} {[]}
","T10 Age","Age in completed years at the time of tracking-register entry.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.ageYears",0,1,"","","T10"
"NgHivTrackingRegister.entry.address","NgHivTrackingRegister.entry.address","","","",0,1,"","","","string {[]} {[]}
","T11 Descriptive address","Descriptive address sufficient to support tracing when necessary.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.address",0,1,"","","T11"
"NgHivTrackingRegister.entry.phoneNumber","NgHivTrackingRegister.entry.phoneNumber","","","",0,*,"","","","string {[]} {[]}
","T12 Phone number","One or more client telephone numbers documented in the folder.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.phoneNumber",0,*,"","","T12"
"NgHivTrackingRegister.entry.artStartDate","NgHivTrackingRegister.entry.artStartDate","","","",1,1,"","","","date {[]} {[]}
","T13 ART start date","Date the client commenced antiretroviral therapy.","","","","","","","","","",,,,,"",,,,"NgHivTrackingRegister.entry.artStartDate",1,1,"","","T13"
